mean,var,M1_final,M2_final
1e-10,1e-10,2.310150906906147e-106,1.0
1e-10,1.002013987975952e-05,2.310150857299886e-106,1.0
1e-10,2.004017975951904e-05,2.310150930033003e-106,1.0
1e-10,3.006021963927856e-05,2.310150892729565e-106,1.0
1e-10,4.008025951903808e-05,2.3101509132196997e-106,1.0
1e-10,5.0100299398797595e-05,2.310150863303074e-106,1.0
1e-10,6.012033927855712e-05,2.310150865039737e-106,1.0
1e-10,7.014037915831663e-05,2.31015822554359e-106,1.0
1e-10,8.016041903807615e-05,2.310150859191087e-106,1.0
1e-10,9.018045891783567e-05,2.310150902366122e-106,1.0
1e-10,0.00010020049879759518,2.3101508555021057e-106,1.0
1e-10,0.0001102205386773547,2.310150873855217e-106,1.0
1e-10,0.00012024057855711423,2.310150864856062e-106,1.0
1e-10,0.00013026061843687375,2.3101508632046973e-106,1.0
1e-10,0.00014028065831663328,2.3101508693428625e-106,1.0
1e-10,0.00015030069819639279,2.310150876563903e-106,1.0
1e-10,0.00016032073807615232,2.3101510488283744e-106,1.0
1e-10,0.00017034077795591185,2.3101508781650746e-106,1.0
1e-10,0.00018036081783567135,2.3101509066376614e-106,1.0
1e-10,0.00019038085771543088,2.310150850652657e-106,1.0
1e-10,0.0002004008975951904,2.310150944836209e-106,1.0
1e-10,0.00021042093747494992,2.3101512208942534e-106,1.0
1e-10,0.00022044097735470942,2.310150875712943e-106,1.0
1e-10,0.00023046101723446895,2.3101508882194274e-106,1.0
1e-10,0.00024048105711422848,2.3101508769550944e-106,1.0
1e-10,0.00025050109699398796,2.310150850485285e-106,1.0
1e-10,0.00026052113687374747,2.3101508485322545e-106,1.0
1e-10,0.000270541176753507,2.3101508767826537e-106,1.0
1e-10,0.00028056121663326653,2.310150886074852e-106,1.0
1e-10,0.00029058125651302603,2.310151030447459e-106,1.0
1e-10,0.00030060129639278554,2.310150851951452e-106,1.0
1e-10,0.0003106213362725451,2.3101508482016387e-106,1.0
1e-10,0.0003206413761523046,2.3101508629500085e-106,1.0
1e-10,0.0003306614160320641,2.3101508656792666e-106,1.0
1e-10,0.00034068145591182366,2.310150855187025e-106,1.0
1e-10,0.00035070149579158316,2.310151029393869e-106,1.0
1e-10,0.00036072153567134267,2.3101508487167898e-106,1.0
1e-10,0.00037074157555110217,2.3101508554825704e-106,1.0
1e-10,0.00038076161543086173,2.310150852943874e-106,1.0
1e-10,0.00039078165531062124,2.3101508486747363e-106,1.0
1e-10,0.00040080169519038074,2.310150857717732e-106,1.0
1e-10,0.0004108217350701403,2.310150851721512e-106,1.0
1e-10,0.0004208417749498998,2.310150851488738e-106,1.0
1e-10,0.0004308618148296593,2.310150854816919e-106,1.0
1e-10,0.0004408818547094188,2.310150878322475e-106,1.0
1e-10,0.00045090189458917837,2.3101508504722405e-106,1.0
1e-10,0.00046092193446893787,2.3101508515309965e-106,1.0
1e-10,0.0004709419743486974,2.310150848982409e-106,1.0
1e-10,0.00048096201422845693,2.310150898970929e-106,1.0
1e-10,0.0004909820541082164,2.310150855097983e-106,1.0
1e-10,0.000501002093987976,2.31015087522056e-106,1.0
1e-10,0.0005110221338677356,2.310150913251085e-106,1.0
1e-10,0.000521042173747495,2.310150863390691e-106,1.0
1e-10,0.0005310622136272546,2.3101508514959224e-106,1.0
1e-10,0.0005410822535070141,2.3101508505188176e-106,1.0
1e-10,0.0005511022933867736,2.310151297034027e-106,1.0
1e-10,0.0005611223332665331,2.3101508489384395e-106,1.0
1e-10,0.0005711423731462927,2.310150866339403e-106,1.0
1e-10,0.0005811624130260521,2.310150854361961e-106,1.0
1e-10,0.0005911824529058117,2.310150992133028e-106,1.0
1e-10,0.0006012024927855711,2.3101508625340946e-106,1.0
1e-10,0.0006112225326653307,2.310150852561267e-106,1.0
1e-10,0.0006212425725450903,2.310150881468793e-106,1.0
1e-10,0.0006312626124248497,2.3101508506648976e-106,1.0
1e-10,0.0006412826523046093,2.310150997207115e-106,1.0
1e-10,0.0006513026921843688,2.3101508821262956e-106,1.0
1e-10,0.0006613227320641283,2.310150855658637e-106,1.0
1e-10,0.0006713427719438878,2.31015084868577e-106,1.0
1e-10,0.0006813628118236474,2.3101508513948066e-106,1.0
1e-10,0.0006913828517034068,2.3101508829398735e-106,1.0
1e-10,0.0007014028915831664,2.3101508495035465e-106,1.0
1e-10,0.0007114229314629259,2.3101508565395934e-106,1.0
1e-10,0.0007214429713426854,2.310151060651718e-106,1.0
1e-10,0.000731463011222445,2.310151020070393e-106,1.0
1e-10,0.0007414830511022044,2.310150850983066e-106,1.0
1e-10,0.000751503090981964,2.3101508478784148e-106,1.0
1e-10,0.0007615231308617235,2.3101508590153317e-106,1.0
1e-10,0.000771543170741483,2.3101508652792884e-106,1.0
1e-10,0.0007815632106212425,2.3101508574781606e-106,1.0
1e-10,0.0007915832505010021,2.310150853369411e-106,1.0
1e-10,0.0008016032903807616,2.310150850691507e-106,1.0
1e-10,0.0008116233302605211,2.3101508507974627e-106,1.0
1e-10,0.0008216433701402807,2.3101508926666936e-106,1.0
1e-10,0.0008316634100200401,2.310150870178593e-106,1.0
1e-10,0.0008416834498997997,2.3101508530560435e-106,1.0
1e-10,0.0008517034897795591,2.3101508611468446e-106,1.0
1e-10,0.0008617235296593187,2.310150852031416e-106,1.0
1e-10,0.0008717435695390782,2.3101517767438923e-106,1.0
1e-10,0.0008817636094188377,2.3101508500858657e-106,1.0
1e-10,0.0008917836492985973,2.3101508523685873e-106,1.0
1e-10,0.0009018036891783568,2.310150862813356e-106,1.0
1e-10,0.0009118237290581163,2.310150849494477e-106,1.0
1e-10,0.0009218437689378758,2.310150849118963e-106,1.0
1e-10,0.0009318638088176354,2.31015086011976e-106,1.0
