mean,var,M1_final,M2_final
1e-10,1e-10,2.310150846107222e-106,1.0
1e-10,0.0001002005006012024,2.310150846107222e-106,1.0
1e-10,0.00020040090120240482,2.310150846107222e-106,1.0
1e-10,0.0003006013018036072,2.310150846107222e-106,1.0
1e-10,0.0004008017024048096,2.310150846107222e-106,1.0
1e-10,0.0005010021030060121,2.310150846107222e-106,1.0
1e-10,0.0006012025036072144,2.310150846107222e-106,1.0
1e-10,0.0007014029042084169,2.310150846107222e-106,1.0
1e-10,0.0008016033048096193,2.310150846107222e-106,1.0
1e-10,0.0009018037054108217,2.310150846107222e-106,1.0
1e-10,0.0010020041060120242,2.310150846107222e-106,1.0
1e-10,0.0011022045066132265,2.310150846107222e-106,1.0
1e-10,0.0012024049072144288,2.310150846107222e-106,1.0
1e-10,0.0013026053078156314,2.310150846107222e-106,1.0
1e-10,0.0014028057084168337,2.310150846107222e-106,1.0
1e-10,0.0015030061090180362,2.310150846107222e-106,1.0
1e-10,0.0016032065096192386,2.310150846107222e-106,1.0
1e-10,0.0017034069102204409,2.310150846107222e-106,1.0
1e-10,0.0018036073108216434,2.310150846107222e-106,1.0
1e-10,0.0019038077114228457,2.310150846107222e-106,1.0
1e-10,0.0020040081120240483,2.310150846107222e-106,1.0
1e-10,0.0021042085126252506,2.310150846107222e-106,1.0
1e-10,0.002204408913226453,2.310150846107222e-106,1.0
1e-10,0.0023046093138276553,2.310150846107222e-106,1.0
1e-10,0.0024048097144288576,2.310150846107222e-106,1.0
1e-10,0.0025050101150300604,2.310150846107222e-106,1.0
1e-10,0.0026052105156312627,2.310150846107222e-106,1.0
1e-10,0.002705410916232465,2.310150846107222e-106,1.0
1e-10,0.0028056113168336673,2.310150846107222e-106,1.0
1e-10,0.0029058117174348697,2.310150846107222e-106,1.0
1e-10,0.0030060121180360724,2.310150846107222e-106,1.0
1e-10,0.0031062125186372747,2.310150846107222e-106,1.0
1e-10,0.003206412919238477,2.310150846107222e-106,1.0
1e-10,0.0033066133198396794,2.310150846107222e-106,1.0
1e-10,0.0034068137204408817,2.310150846107222e-106,1.0
1e-10,0.0035070141210420845,2.310150846107222e-106,1.0
1e-10,0.003607214521643287,2.310150846107222e-106,1.0
1e-10,0.003707414922244489,2.310150846107222e-106,1.0
1e-10,0.0038076153228456915,2.310150846107222e-106,1.0
1e-10,0.003907815723446894,2.310150846107222e-106,1.0
1e-10,0.004008016124048096,2.310150846107222e-106,1.0
1e-10,0.0041082165246492984,2.310150846107222e-106,1.0
1e-10,0.004208416925250501,2.310150846107222e-106,1.0
1e-10,0.004308617325851703,2.310150846107222e-106,1.0
1e-10,0.004408817726452905,2.310150846107222e-106,1.0
1e-10,0.004509018127054108,2.310150846107222e-106,1.0
1e-10,0.00460921852765531,2.310150846107222e-106,1.0
1e-10,0.004709418928256512,2.310150846107222e-106,1.0
1e-10,0.004809619328857715,2.310150846107222e-106,1.0
1e-10,0.004909819729458918,2.310150846107222e-106,1.0
1e-10,0.00501002013006012,2.310150846107222e-106,1.0
1e-10,0.0051102205306613226,2.310150846107222e-106,1.0
1e-10,0.005210420931262525,2.310150846107222e-106,1.0
1e-10,0.005310621331863727,2.310150846107222e-106,1.0
1e-10,0.0054108217324649295,2.310150846107222e-106,1.0
1e-10,0.005511022133066132,2.310150846107222e-106,1.0
1e-10,0.005611222533667334,2.310150846107222e-106,1.0
1e-10,0.0057114229342685365,2.310150846107222e-106,1.0
1e-10,0.005811623334869739,2.310150846107222e-106,1.0
1e-10,0.005911823735470942,2.310150846107222e-106,1.0
1e-10,0.006012024136072144,2.310150846107222e-106,1.0
1e-10,0.006112224536673347,2.310150846107222e-106,1.0
1e-10,0.006212424937274549,2.310150846107222e-106,1.0
1e-10,0.006312625337875751,2.310150846107222e-106,1.0
1e-10,0.006412825738476954,2.310150846107222e-106,1.0
1e-10,0.006513026139078156,2.310150846107222e-106,1.0
1e-10,0.006613226539679358,2.310150846107222e-106,1.0
1e-10,0.006713426940280561,2.310150846107222e-106,1.0
1e-10,0.006813627340881763,2.310150846107222e-106,1.0
1e-10,0.006913827741482965,2.310150846107222e-106,1.0
1e-10,0.0070140281420841685,2.310150846107222e-106,1.0
1e-10,0.007114228542685371,2.310150846107222e-106,1.0
1e-10,0.007214428943286573,2.310150846107222e-106,1.0
1e-10,0.0073146293438877755,2.310150846107222e-106,1.0
1e-10,0.007414829744488978,2.310150846107222e-106,1.0
1e-10,0.00751503014509018,2.310150846107222e-106,1.0
1e-10,0.0076152305456913824,2.310150846107222e-106,1.0
1e-10,0.007715430946292585,2.310150846107222e-106,1.0
1e-10,0.007815631346893788,2.310150846107222e-106,1.0
1e-10,0.00791583174749499,2.310150846107222e-106,1.0
1e-10,0.008016032148096193,2.310150846107222e-106,1.0
1e-10,0.008116232548697394,2.310150846107222e-106,1.0
1e-10,0.008216432949298597,2.310150846107222e-106,1.0
1e-10,0.008316633349899799,2.310150846107222e-106,1.0
1e-10,0.008416833750501002,2.310150846107222e-106,1.0
1e-10,0.008517034151102203,2.310150846107222e-106,1.0
1e-10,0.008617234551703407,2.310150846107222e-106,1.0
1e-10,0.00871743495230461,2.310150846107222e-106,1.0
1e-10,0.008817635352905811,2.310150846107222e-106,1.0
1e-10,0.008917835753507014,2.310150846107222e-106,1.0
1e-10,0.009018036154108216,2.310150846107222e-106,1.0
1e-10,0.009118236554709419,2.310150846107222e-106,1.0
1e-10,0.00921843695531062,2.310150846107222e-106,1.0
1e-10,0.009318637355911824,2.310150846107222e-106,1.0
1e-10,0.009418837756513025,2.310150846107222e-106,1.0
1e-10,0.009519038157114228,2.310150846107222e-106,1.0
1e-10,0.00961923855771543,2.310150846107222e-106,1.0
1e-10,0.009719438958316633,2.310150846107222e-106,1.0
1e-10,0.009819639358917836,2.310150846107222e-106,1.0
1e-10,0.009919839759519038,2.310150846107222e-106,1.0
1e-10,0.010020040160120241,2.310150846107222e-106,1.0
1e-10,0.010120240560721442,2.310150846107222e-106,1.0
1e-10,0.010220440961322646,2.310150846107222e-106,1.0
1e-10,0.010320641361923847,2.310150846107222e-106,1.0
1e-10,0.01042084176252505,2.310150846107222e-106,1.0
1e-10,0.010521042163126252,2.310150846107222e-106,1.0
1e-10,0.010621242563727455,2.310150846107222e-106,1.0
1e-10,0.010721442964328658,2.310150846107222e-106,1.0
1e-10,0.01082164336492986,2.310150846107222e-106,1.0
1e-10,0.010921843765531063,2.310150846107222e-106,1.0
1e-10,0.011022044166132264,2.310150846107222e-106,1.0
1e-10,0.011122244566733467,2.310150846107222e-106,1.0
1e-10,0.011222444967334669,2.310150846107222e-106,1.0
1e-10,0.011322645367935872,2.310150846107222e-106,1.0
1e-10,0.011422845768537073,2.310150846107222e-106,1.0
1e-10,0.011523046169138277,2.310150846107222e-106,1.0
1e-10,0.011623246569739478,2.310150846107222e-106,1.0
1e-10,0.011723446970340681,2.310150846107222e-106,1.0
1e-10,0.011823647370941884,2.310150846107222e-106,1.0
1e-10,0.011923847771543086,2.310150846107222e-106,1.0
1e-10,0.012024048172144289,2.310150846107222e-106,1.0
1e-10,0.01212424857274549,2.310150846107222e-106,1.0
1e-10,0.012224448973346694,2.310150846107222e-106,1.0
1e-10,0.012324649373947895,2.310150846107222e-106,1.0
1e-10,0.012424849774549098,2.310150846107222e-106,1.0
1e-10,0.0125250501751503,2.310150846107222e-106,1.0
1e-10,0.012625250575751503,2.310150846107222e-106,1.0
1e-10,0.012725450976352705,2.310150846107222e-106,1.0
1e-10,0.012825651376953908,2.310150846107222e-106,1.0
1e-10,0.012925851777555111,2.310150846107222e-106,1.0
